Image,Latitude,Longitude
2016-10-28 (1).jpg,18.52694,73.85012
2016-10-28 (2).jpg,18.52694,73.85021
2016-10-28.jpg,18.52695,73.85004
2016-12-29 (1).jpg,18.43534,73.77177
2016-12-29.jpg,18.43522,73.77209
2017-02-18 (1).jpg,18.51628,73.85562
2017-02-18.jpg,18.51618,73.85589
2017-02-19 (1).jpg,18.52695,73.85025
2017-02-19.jpg,18.52694,73.84992
2017-05-02 (1).jpg,18.55527,73.79047
2017-05-02.jpg,18.55471,73.7889
2017-05-15 (1).jpg,18.44761,73.88076
2017-05-15.jpg,18.44905,73.88084
2017-05-30 (1).jpg,18.52695,73.84989
2017-05-30 (2).jpg,18.52694,73.85012
2017-05-30 (3).jpg,18.52695,73.84993
2017-05-30.jpg,18.52694,73.85003
2017-06-24.jpg,18.36637,73.75617
2017-07-12.jpg,18.23345,73.44063
2017-08-04.jpg,18.43539,73.77216
2017-09-01.jpg,18.43454,73.77017
2017-09-03 (1).jpg,18.43586,73.77084
2017-09-03.jpg,18.43602,73.77076
2017-10-01 (1).jpg,18.43603,73.76933
2017-10-01.jpg,18.43456,73.77185
2017-10-07 (1).jpg,18.52695,73.85005
2017-10-07 (2).jpg,18.52694,73.85021
2017-10-07 (3).jpg,18.52694,73.85027
2017-10-07.jpg,18.52694,73.85004
2017-11-22 (1).jpg,18.43542,73.77241
2017-11-22.jpg,18.43566,73.76995
2017-12-24 (1).jpg,18.4909,73.83703
2017-12-24.jpg,18.49183,73.83699
20170729_083804 (1).jpg,18.43486,73.77232
20170729_083804.jpg,18.43606,73.77284
20170904_143541 (1).jpg,18.43515,73.7729
20170904_143541.jpg,18.4355,73.7693
20170904_143547 (1).jpg,18.43537,73.77181
20170904_143547.jpg,18.43546,73.77215
2018-04-11 (1).jpg,18.44848,73.88076
2018-04-11.jpg,18.44754,73.88075
2018-05-21.jpg,18.43539,73.77091
2018-08-15 (1).jpg,18.49037,73.83638
2018-08-15.jpg,18.49099,73.8372
2018-09-25 (1).jpg,18.51635,73.85587
2018-09-25.jpg,18.51645,73.85581
2018-10-02 (1).jpg,18.5162,73.85616
2018-10-02.jpg,18.51627,73.85596
2018-10-05 (1).jpg,18.49234,73.83735
2018-10-05.jpg,18.49197,73.83697
2018-11-26 (1).jpg,18.55422,73.78866
2018-11-26.jpg,18.55509,73.79056
2018-12-02 (1).jpg,18.4348,73.77156
2018-12-02 (2).jpg,18.43479,73.77207
2018-12-02.jpg,18.43483,73.77245
20180219_160600 (1).jpg,18.44746,73.88094
20180219_160600.jpg,18.44858,73.88074
2019-02-01 (1).jpg,18.51644,73.85575
2019-02-01 (2).jpg,18.51619,73.85607
2019-02-01.jpg,18.51618,73.85583
2019-03-06 (1).jpg,18.52694,73.85019
2019-03-06.jpg,18.52694,73.84996
2019-03-13 (1).jpg,18.43451,73.77093
2019-03-13.jpg,18.43583,73.77247
2019-04-10 (1).jpg,18.52694,73.8499
2019-04-10.jpg,18.52695,73.85011
2019-04-13 (1).jpg,18.52694,73.85005
2019-04-13 (2).jpg,18.52694,73.85006
2019-04-13 (3).jpg,18.52695,73.85011
2019-04-13 (4).jpg,18.52695,73.85015
2019-04-13 (5).jpg,18.52694,73.84997
2019-04-13.jpg,18.52694,73.85014
2019-04-21 (1).jpg,18.44724,73.881
2019-04-21 (2).jpg,18.44922,73.88083
2019-04-21.jpg,18.44748,73.88093
